trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday
8612,2013-06-29 15:31,2013-06-29 16:07,301,2153,25,Michigan Ave & Pearson St,67,Sheffield Ave & Fullerton Ave,Customer,,
8613,2013-06-29 15:31,2013-06-29 16:08,452,2218,25,Michigan Ave & Pearson St,67,Sheffield Ave & Fullerton Ave,Customer,,
8614,2013-06-29 15:32,2013-06-29 15:55,560,1430,85,Michigan Ave & Oak St,26,McClurg Ct & Illinois St,Customer,,
8615,2013-06-29 15:32,2013-06-29 15:56,204,1448,85,Michigan Ave & Oak St,26,McClurg Ct & Illinois St,Customer,,
8616,2013-06-29 15:32,2013-06-29 15:55,137,1409,85,Michigan Ave & Oak St,26,McClurg Ct & Illinois St,Customer,,
8617,2013-06-29 15:32,2013-06-29 15:56,592,1417,85,Michigan Ave & Oak St,26,McClurg Ct & Illinois St,Customer,,
8619,2013-06-29 15:33,2013-06-29 16:31,366,3460,43,Michigan Ave & Washington St,26,McClurg Ct & Illinois St,Customer,,
8621,2013-06-29 15:34,2013-06-29 16:28,462,3255,43,Michigan Ave & Washington St,26,McClurg Ct & Illinois St,Customer,,
8622,2013-06-29 15:34,2013-06-29 15:54,156,1184,88,May St & Randolph St,46,Wells St & Walton St,Customer,,
8623,2013-06-29 15:34,2013-06-29 16:01,860,1633,48,Larrabee St & Kingsbury St,25,Michigan Ave & Pearson St,Customer,,
8624,2013-06-29 15:35,2013-06-29 15:58,559,1355,90,Millennium Park,24,Fairbanks Ct & Grand Ave,Customer,,
8625,2013-06-29 15:35,2013-06-29 15:48,440,752,37,Dearborn St & Adams St,90,Millennium Park,Customer,,
8627,2013-06-29 15:35,2013-06-29 16:01,535,1613,48,Larrabee St & Kingsbury St,25,Michigan Ave & Pearson St,Customer,,
8628,2013-06-29 15:35,2013-06-29 15:57,321,1331,90,Millennium Park,24,Fairbanks Ct & Grand Ave,Customer,,
8630,2013-06-29 15:35,2013-06-29 15:43,228,453,37,Dearborn St & Adams St,91,Clinton St & Washington Blvd,Customer,,
8634,2013-06-29 15:36,2013-06-29 15:44,417,449,90,Millennium Park,76,Lake Shore Dr & Monroe St,Customer,,
8635,2013-06-29 15:36,2013-06-29 16:11,183,2102,90,Millennium Park,76,Lake Shore Dr & Monroe St,Customer,,
